sgId	gene	untreated_day15Rep1	untreated_day15Rep2	RigosertibRep1	RigosertibRep2
Drug_Targets+Kinase_Phosphatase=negUSO1_-_76650019.25-all	negative_control	606	763	774	680
Drug_Targets+Kinase_Phosphatase=negUTP11L_-_38477956.25-all	negative_control	691	771	855	829
Drug_Targets+Kinase_Phosphatase=negUTP11L_-_38478204.24-all	negative_control	288	250	233	250
Drug_Targets+Kinase_Phosphatase=negVAMP2_+_8066619.25-all	negative_control	572	630	627	575
Drug_Targets+Kinase_Phosphatase=negVAMP2_+_8067464.25-all	negative_control	938	1043	799	855
Drug_Targets+Kinase_Phosphatase=negVCP_-_35071027.23-all	negative_control	1197	1138	1067	1011
Drug_Targets+Kinase_Phosphatase=negVCP_-_35071913.22-all	negative_control	597	589	592	622
Drug_Targets+Kinase_Phosphatase=negVMP1_-_57785027.25-all	negative_control	528	513	534	497
Drug_Targets+Kinase_Phosphatase=negVPS13D_-_12291348.24-NM_018156	negative_control	463	593	666	555
Drug_Targets+Kinase_Phosphatase=negVPS53_+_616984.25-NM_018289	negative_control	622	591	603	595
Drug_Targets+Kinase_Phosphatase=negVPS53_+_618235.23-NM_018289	negative_control	633	676	556	542
Drug_Targets+Kinase_Phosphatase=negVPS53_-_616365.25-NM_001128159	negative_control	537	726	615	631
Drug_Targets+Kinase_Phosphatase=negVPS72_+_151162361.25-NM_005997,NM_001271088	negative_control	393	452	388	315
Drug_Targets+Kinase_Phosphatase=negVPS72_-_151162217.25-NM_005997	negative_control	221	298	242	274
Drug_Targets+Kinase_Phosphatase=negWBP11_+_14956124.24-all	negative_control	673	634	504	727
Drug_Targets+Kinase_Phosphatase=negWDHD1_-_55494216.24-NM_001008396	negative_control	415	468	537	541
Drug_Targets+Kinase_Phosphatase=negWDR33_+_128567057.24-NM_001006623	negative_control	218	230	175	227
Drug_Targets+Kinase_Phosphatase=negWDR33_+_128567914.24-NM_018383,NM_001006622	negative_control	871	836	857	842
Drug_Targets+Kinase_Phosphatase=negWDR33_+_128568415.25-NM_001006623	negative_control	319	338	331	343
Drug_Targets+Kinase_Phosphatase=negWDR33_-_128567892.22-NM_001006623	negative_control	925	1005	941	987
Drug_Targets+Kinase_Phosphatase=negWDR36_-_110426311.24-all	negative_control	879	821	958	895
Drug_Targets+Kinase_Phosphatase=negWDR3_+_118472255.25-all	negative_control	661	705	731	649
Drug_Targets+Kinase_Phosphatase=negWDR43_+_29117427.22-all	negative_control	1016	1182	1207	1104
Drug_Targets+Kinase_Phosphatase=negWDR43_-_29117456.24-all	negative_control	812	894	745	790
Drug_Targets+Kinase_Phosphatase=negWDR82_-_52312075.23-all	negative_control	833	1038	1011	925
Drug_Targets+Kinase_Phosphatase=negWRB_-_40753652.22-NM_004627	negative_control	1270	1504	1605	1566
Drug_Targets+Kinase_Phosphatase=negWRB_-_40758365.25-NM_001146218	negative_control	298	241	349	271
Drug_Targets+Kinase_Phosphatase=negXAB2_-_7694989.25-all	negative_control	584	702	632	681
Drug_Targets+Kinase_Phosphatase=negXPO1_+_61764225.24-all	negative_control	173	124	397	260
Drug_Targets+Kinase_Phosphatase=negXRCC2_+_152372905.25-all	negative_control	348	320	349	377
Drug_Targets+Kinase_Phosphatase=negXRCC5_+_216973917.24-all	negative_control	579	610	680	579
Drug_Targets+Kinase_Phosphatase=negXRCC5_-_216974338.23-all	negative_control	808	834	986	878
Drug_Targets+Kinase_Phosphatase=negXRCC6_+_42016379.25-all	negative_control	1109	996	1031	1184
Drug_Targets+Kinase_Phosphatase=negXRCC6_+_42017821.24-all	negative_control	696	772	836	886
Drug_Targets+Kinase_Phosphatase=negYARS_+_33283470.24-all	negative_control	817	836	818	888
Drug_Targets+Kinase_Phosphatase=negYARS_-_33285099.21-all	negative_control	232	264	244	286
Drug_Targets+Kinase_Phosphatase=negYARS_-_33285103.25-all	negative_control	262	242	306	198
Drug_Targets+Kinase_Phosphatase=negYME1L1_+_27441910.24-NM_139312	negative_control	532	467	536	539
Drug_Targets+Kinase_Phosphatase=negYME1L1_+_27442901.25-NM_139312	negative_control	379	468	430	421
Drug_Targets+Kinase_Phosphatase=negYME1L1_+_27443239.25-NM_139312,NM_001253866	negative_control	153	155	159	188
Drug_Targets+Kinase_Phosphatase=negYME1L1_-_27444374.23-NM_139312	negative_control	830	949	951	964
Drug_Targets+Kinase_Phosphatase=negYRDC_+_38274249.24-all	negative_control	497	601	641	634
Drug_Targets+Kinase_Phosphatase=negYTHDC1_-_69215282.21-NM_133370	negative_control	538	569	590	658
Drug_Targets+Kinase_Phosphatase=negZBTB8OS_-_33117082.25-all	negative_control	509	547	539	525
Drug_Targets+Kinase_Phosphatase=negZC3H13_-_46626980.23-all	negative_control	515	556	578	620
Drug_Targets+Kinase_Phosphatase=negZCCHC9_+_80597766.25-NM_001131036	negative_control	287	313	386	320
Drug_Targets+Kinase_Phosphatase=negZCCHC9_+_80598014.25-NM_001131035	negative_control	253	311	268	311
Drug_Targets+Kinase_Phosphatase=negZMYND8_+_45984601.25-NM_001281780,NM_001281784	negative_control	1224	1179	975	920
Drug_Targets+Kinase_Phosphatase=negZMYND8_+_45986066.24-NM_183048	negative_control	452	503	413	396
Drug_Targets+Kinase_Phosphatase=negZMYND8_+_45986791.25-NM_012408	negative_control	231	257	200	215
Drug_Targets+Kinase_Phosphatase=negZMYND8_-_45985885.25-NM_001281772	negative_control	288	303	398	352
Drug_Targets+Kinase_Phosphatase=negZMYND8_-_45986081.24-NM_001281784	negative_control	238	252	265	194
Drug_Targets+Kinase_Phosphatase=negZMYND8_-_45986097.23-NM_001281780,NM_012408,NM_001281784	negative_control	516	532	626	589
Drug_Targets+Kinase_Phosphatase=negZNF143_+_9480861.22-NM_003442	negative_control	944	955	1148	1062
Drug_Targets+Kinase_Phosphatase=negZNF143_+_9483433.25-NM_001282657	negative_control	921	938	776	968
Drug_Targets+Kinase_Phosphatase=negZNF143_-_9480833.25-NM_001282657	negative_control	890	1024	961	814
Drug_Targets+Kinase_Phosphatase=negZNF143_-_9482411.22-NM_003442	negative_control	884	918	1050	979
Drug_Targets+Kinase_Phosphatase=negZNF207_+_30676108.23-NM_003457	negative_control	685	686	673	773
Drug_Targets+Kinase_Phosphatase=negZNF207_+_30676303.22-NM_003457	negative_control	275	262	269	242
Drug_Targets+Kinase_Phosphatase=negZNF236_+_74536977.25-all	negative_control	654	696	626	703
Drug_Targets+Kinase_Phosphatase=negZNF236_-_74535179.25-all	negative_control	144	139	190	121
Drug_Targets+Kinase_Phosphatase=negZNF335_-_44600118.24-all	negative_control	356	471	476	376
Drug_Targets+Kinase_Phosphatase=negZNF335_-_44600371.25-all	negative_control	552	572	559	549
Drug_Targets+Kinase_Phosphatase=negZNHIT1_+_100860061.23-all	negative_control	576	605	568	650
Drug_Targets+Kinase_Phosphatase=negZNHIT1_-_100859875.25-all	negative_control	646	794	199	200
Gene_Expression=negAARS_+_70321737.24-all	negative_control	500	572	618	667
Gene_Expression=negAARS_+_70323039.25-all	negative_control	489	449	957	772
Gene_Expression=negAARS_-_70323096.22-all	negative_control	789	800	823	840
Gene_Expression=negAARS_-_70323563.24-all	negative_control	591	715	599	478
Gene_Expression=negAARS_-_70324363.25-all	negative_control	168	163	214	138
Gene_Expression=negABCB7_+_74374439.24-NM_001271699	negative_control	189	287	231	249
Gene_Expression=negACTL6A_+_179280995.24-NM_178042,NM_004301	negative_control	593	681	694	782
Gene_Expression=negACTL6A_-_179281802.25-NM_177989	negative_control	498	623	552	561
Gene_Expression=negADSL_+_40741269.22-NM_001123378	negative_control	982	993	865	993
Gene_Expression=negADSL_-_40740800.25-NM_000026	negative_control	723	885	726	926
Gene_Expression=negADSL_-_40741309.24-NM_001123378	negative_control	1547	1584	1767	1811
Gene_Expression=negAHCTF1_+_247096351.23-all	negative_control	512	506	558	417
Gene_Expression=negALG1_-_5120249.23-all	negative_control	425	566	464	554
Gene_Expression=negANAPC5_+_121793686.22-NM_001137559	negative_control	689	891	865	860
Gene_Expression=negANAPC5_+_121793698.24-NM_001137559	negative_control	674	855	808	825
Gene_Expression=negANLN_+_36429982.23-NM_018685	negative_control	487	497	462	500
Gene_Expression=negAP2M1_-_183892922.23-NM_001025205	negative_control	208	147	210	143
Gene_Expression=negAQR_+_35262060.25-all	negative_control	276	406	301	328
Gene_Expression=negARCN1_+_118443585.22-NM_001655	negative_control	696	792	817	748
Gene_Expression=negARPC2_+_219081079.23-NM_005731	negative_control	184	222	255	280
Gene_Expression=negARPC2_+_219082182.25-NM_005731	negative_control	524	478	657	513
Gene_Expression=negARPC2_-_219082225.24-NM_152862	negative_control	431	466	589	598
Gene_Expression=negARPC2_-_219082698.23-NM_005731	negative_control	474	678	720	621
Gene_Expression=negATP2A2_-_110719058.23-NM_001681	negative_control	230	238	291	338
Gene_Expression=negATP2A2_-_110719663.25-all	negative_control	932	914	904	921
Gene_Expression=negATP5A1_+_43682508.22-NM_001001937	negative_control	502	585	551	512
Gene_Expression=negATP5A1_-_43678598.24-NM_004046	negative_control	248	189	204	162
Gene_Expression=negATP5C1_+_7830045.25-NM_001001973	negative_control	936	991	787	896
Gene_Expression=negATP5C1_-_7829552.25-NM_001001973	negative_control	285	316	314	335
Gene_Expression=negATP6V0C_+_2564643.24-NM_001694	negative_control	427	474	463	485
Gene_Expression=negATP6V0C_-_2563320.21-NM_001198569	negative_control	481	500	470	488
Gene_Expression=negATP6V0C_-_2563364.24-NM_001198569	negative_control	342	422	270	307
Gene_Expression=negATP6V0C_-_2563513.22-NM_001694	negative_control	1041	1018	1003	1025
Gene_Expression=negATP6V0C_-_2564338.24-NM_001198569	negative_control	815	906	1467	1153
Gene_Expression=negATP6V0C_-_2565209.23-NM_001694	negative_control	575	527	731	621
Gene_Expression=negATP6V1A_-_113464942.24-all	negative_control	651	775	787	807
Gene_Expression=negBANP_+_87984522.22-NM_017869	negative_control	796	842	778	885
Gene_Expression=negBANP_+_87985175.24-NM_079837	negative_control	587	655	705	739
Gene_Expression=negBANP_-_87984370.24-NM_001173539	negative_control	408	398	413	381
Gene_Expression=negBANP_-_87984909.25-NM_079837	negative_control	757	1131	899	718
Gene_Expression=negBANP_-_88003389.25-NM_001173543	negative_control	348	383	407	362
Gene_Expression=negBANP_-_88003644.25-NM_001173543	negative_control	150	138	121	164
Gene_Expression=negBCL2L1_+_30311081.24-NM_001191	negative_control	802	892	783	717
Gene_Expression=negBCL2L1_-_30309271.24-NM_138578	negative_control	763	820	768	687
Gene_Expression=negBCL2_+_60985639.23-NM_000657	negative_control	143	134	149	108
Gene_Expression=negBCL2_+_60986799.24-NM_000633	negative_control	334	398	440	348
Gene_Expression=negBCL2_+_60987503.23-NM_000657	negative_control	386	459	419	510
Gene_Expression=negBCL2_-_60985616.23-NM_000657	negative_control	708	818	473	534
Gene_Expression=negBCL2_-_60987254.24-NM_000657	negative_control	382	433	392	394
Gene_Expression=negBCL2_-_60987327.24-NM_000633	negative_control	528	532	456	446
Gene_Expression=negBRIX1_+_34915986.24-all	negative_control	596	645	577	602
Gene_Expression=negBRIX1_+_34916953.25-all	negative_control	660	792	585	636
Gene_Expression=negBRIX1_-_34915880.23-all	negative_control	437	519	429	448
Gene_Expression=negBTF3_+_72793990.24-NM_001037637	negative_control	793	851	932	1013
Gene_Expression=negBUD31_-_99006000.25-all	negative_control	841	899	854	995
Gene_Expression=negBUD31_-_99006225.21-all	negative_control	135	155	89	73
Gene_Expression=negC9orf114_+_131592004.21-all	negative_control	856	889	1028	850
Gene_Expression=negC9orf114_+_131593554.24-all	negative_control	479	461	541	612
Gene_Expression=negCCT4_+_62116298.23-NM_001256721	negative_control	381	463	573	616
Gene_Expression=negCCT4_+_62116448.24-NM_001256721	negative_control	410	443	318	292
Gene_Expression=negCCT5_-_10250939.25-all	negative_control	736	755	745	971
Gene_Expression=negCCT7_+_73460159.25-NR_029403,NM_001166285,NR_029402	negative_control	401	383	489	468
Gene_Expression=negCCT7_+_73460975.25-NR_029403	negative_control	1320	1391	989	1037
Gene_Expression=negCCT7_+_73462526.25-NM_006429	negative_control	431	439	389	364
Gene_Expression=negCCT7_+_73462745.24-NM_001166285	negative_control	1304	1512	1462	1455
Gene_Expression=negCCT7_-_73460691.24-NM_006429	negative_control	498	625	471	585
Gene_Expression=negCCT7_-_73461234.25-NM_001166285	negative_control	691	552	451	514
Gene_Expression=negCCT7_-_73461436.24-NR_029403	negative_control	1017	1130	1215	1086
Gene_Expression=negCCT8_+_30444358.25-NM_001282909	negative_control	132	169	121	168
Gene_Expression=negCCT8_+_30444879.24-NM_001282907	negative_control	775	848	871	779
Gene_Expression=negCCT8_+_30447308.25-NM_006585	negative_control	1243	1371	1197	1092
Gene_Expression=negCCT8_-_30446964.24-NM_001282908	negative_control	529	517	596	597
Gene_Expression=negCDC123_-_12238360.22-all	negative_control	722	690	553	631
Gene_Expression=negCDC40_+_110501141.23-all	negative_control	625	666	729	814
Gene_Expression=negCDC45_+_19468538.22-NM_001178011	negative_control	600	585	614	546
Gene_Expression=negCDC45_-_19466235.24-NM_001178010	negative_control	965	911	775	807
Gene_Expression=negCDC73_-_193092507.22-all	negative_control	412	442	399	348
Gene_Expression=negCEP55_+_95255932.23-NM_018131	negative_control	201	191	195	181
Gene_Expression=negCEP55_+_95256307.25-NM_018131	negative_control	397	414	384	377
Gene_Expression=negCEP55_-_95256530.24-NM_001127182	negative_control	795	874	841	747
Gene_Expression=negCEP85_+_26560364.25-NM_001281517	negative_control	232	219	322	257
Gene_Expression=negCEP85_-_26561366.25-NM_022778	negative_control	907	919	814	761
Gene_Expression=negCEP85_-_26595699.25-NM_001281518	negative_control	398	404	223	286
Gene_Expression=negCFDP1_-_75466800.23-all	negative_control	18	8	17	9
Gene_Expression=negCHCHD4_-_14165332.21-NM_144636	negative_control	510	685	628	607
Gene_Expression=negCHMP6_-_78965885.25-all	negative_control	417	419	390	338
Gene_Expression=negCHMP6_-_78965974.25-all	negative_control	512	529	522	545
Gene_Expression=negCIRH1A_+_69166470.24-all	negative_control	826	950	766	899
Gene_Expression=negCKAP5_+_46869593.24-NM_001008938	negative_control	637	789	664	780
Gene_Expression=negCKAP5_+_46869613.23-NM_014756	negative_control	940	902	894	901
Gene_Expression=negCLSPN_-_36234488.25-NM_022111	negative_control	242	332	329	409
Gene_Expression=negCLTC_+_57697326.25-all	negative_control	325	364	431	391
Gene_Expression=negCNOT1_+_58663420.24-NR_049763	negative_control	427	505	397	471
Gene_Expression=negCNOT1_-_58665292.23-NM_206999	negative_control	983	1056	959	862
Gene_Expression=negCOPA_+_160313557.24-NM_004371	negative_control	629	636	606	548
Gene_Expression=negCOPB1_-_14520747.25-NM_001144062	negative_control	773	840	929	898
Gene_Expression=negCOPS4_+_83955167.24-NM_001258006	negative_control	890	804	381	375
Gene_Expression=negCOPZ1_+_54717785.25-NM_001271735	negative_control	140	78	129	125
Gene_Expression=negCOPZ1_+_54718033.25-NM_001271735	negative_control	902	843	896	794
Gene_Expression=negCOPZ1_+_54718105.25-NR_073424	negative_control	277	366	283	321
Gene_Expression=negCOPZ1_+_54718206.25-NM_001271736	negative_control	607	559	620	643
Gene_Expression=negCOPZ1_-_54717592.25-NM_001271735	negative_control	351	432	268	260
Gene_Expression=negCOPZ1_-_54718446.24-NM_001271736	negative_control	613	736	588	607
Gene_Expression=negCPSF2_+_92589268.22-all	negative_control	560	565	611	523
Gene_Expression=negCPSF2_-_92587400.24-all	negative_control	707	926	764	950
Gene_Expression=negCPSF2_-_92588389.23-all	negative_control	714	674	747	674
Gene_Expression=negCPSF6_+_69633813.25-all	negative_control	184	239	622	548
Gene_Expression=negCPSF6_-_69632286.24-all	negative_control	700	605	746	657
Gene_Expression=negCREBBP_+_3931700.25-NM_004380	negative_control	869	885	791	701
Gene_Expression=negCRNKL1_+_20036081.25-NM_016652	negative_control	688	710	841	755
Gene_Expression=negCRNKL1_+_20038439.23-NM_016652	negative_control	1100	1126	1182	1024
Gene_Expression=negCRNKL1_-_20032162.23-NM_001278628	negative_control	790	794	841	1011
Gene_Expression=negCRNKL1_-_20037854.24-NM_001278627	negative_control	1753	1853	1764	1615
Gene_Expression=negCSE1L_+_47661004.23-NM_001316	negative_control	760	708	797	913
Gene_Expression=negCSE1L_+_47661451.24-NR_045796	negative_control	392	524	380	335
Gene_Expression=negCSE1L_-_47661653.24-NM_001316	negative_control	691	691	629	669
Gene_Expression=negCSE1L_-_47661807.24-NM_001316	negative_control	838	759	840	914
Gene_Expression=negCSE1L_-_47662100.24-NM_001256135	negative_control	332	501	481	384
Gene_Expression=negCSE1L_-_47662445.23-NM_001256135	negative_control	457	354	364	408
Gene_Expression=negCSNK1A1_+_148929566.23-NM_001892	negative_control	1290	1696	787	854
Gene_Expression=negCSNK1A1_+_148930964.25-NM_001892	negative_control	363	355	360	324
Gene_Expression=negCSNK1A1_-_148929869.24-NM_001025105	negative_control	509	644	493	499
Gene_Expression=negCSNK1A1_-_148932914.25-NM_001271741	negative_control	477	568	566	578
Gene_Expression=negCSTF1_+_54967500.23-NM_001324	negative_control	816	922	607	675
Gene_Expression=negCSTF1_+_54967897.24-NM_001324	negative_control	207	256	215	202
Gene_Expression=negCSTF1_+_54967939.24-NM_001033521	negative_control	228	243	277	235
Gene_Expression=negCSTF1_-_54965811.22-NM_001324	negative_control	816	720	743	666
Gene_Expression=negCSTF1_-_54967524.24-NM_001033522	negative_control	534	717	780	728
Gene_Expression=negCSTF1_-_54968098.25-NM_001324,NM_001033521	negative_control	622	685	711	685
Gene_Expression=negCSTF3_-_33183256.25-NM_001033506	negative_control	612	654	679	673
Gene_Expression=negCTCF_+_67594550.25-NM_006565	negative_control	210	243	239	325
Gene_Expression=negCTCF_-_67597673.23-NM_001191022	negative_control	356	412	463	406
Gene_Expression=negCTNNBL1_-_36321601.25-NM_001281495	negative_control	730	797	789	800
Gene_Expression=negCTNNBL1_-_36321739.25-NM_001281495	negative_control	702	789	812	710
Gene_Expression=negCUL1_-_148396122.24-all	negative_control	334	382	396	373
Gene_Expression=negCWF19L2_-_107328999.24-all	negative_control	616	775	592	705
Gene_Expression=negCYB5B_-_69458762.23-all	negative_control	682	706	714	783
Gene_Expression=negCYB5B_-_69460200.25-all	negative_control	241	211	238	150
Gene_Expression=negCYB5B_-_69460245.23-all	negative_control	1050	1088	1114	1226
Gene_Expression=negDAP3_+_155657483.24-NM_001199850	negative_control	290	420	493	389
Gene_Expression=negDAP3_+_155658299.25-NM_001199850	negative_control	644	643	1009	878
Gene_Expression=negDAP3_+_155659047.25-NM_004632	negative_control	173	204	205	243
Gene_Expression=negDAP3_-_155658168.21-NM_001199850	negative_control	492	539	519	456
Gene_Expression=negDAP3_-_155658697.25-NM_001199850	negative_control	853	1004	808	755
Gene_Expression=negDAP3_-_155660241.25-NM_004632	negative_control	385	402	480	390
Gene_Expression=negDARS_+_136741790.25-all	negative_control	556	716	678	564
Gene_Expression=negDARS_+_136744846.25-all	negative_control	72	107	120	90
Gene_Expression=negDCPS_-_126172406.24-all	negative_control	950	977	1033	1031
Gene_Expression=negDCTN4_+_150139610.25-NM_016221	negative_control	260	274	276	243
Gene_Expression=negDCTN4_-_150138560.22-NM_016221	negative_control	642	571	597	503
Gene_Expression=negDDX21_-_70716582.25-NM_001256910	negative_control	372	369	383	356
Gene_Expression=negDDX42_+_61851192.25-NM_203499	negative_control	177	165	148	226
Gene_Expression=negDDX42_+_61851613.24-NM_203499	negative_control	532	586	589	571
Gene_Expression=negDDX42_+_61851784.23-NM_007372	negative_control	121	170	207	269
Gene_Expression=negDDX47_+_12964667.25-NM_201224	negative_control	691	669	753	688
Gene_Expression=negDDX47_+_12966115.25-NM_201224	negative_control	175	208	182	223
Gene_Expression=negDDX47_+_12966306.23-NM_016355	negative_control	513	569	609	587
Gene_Expression=negDDX47_+_12967117.25-NM_201224	negative_control	901	1098	867	848
Gene_Expression=negDDX47_-_12966370.23-NM_201224	negative_control	481	439	502	517
Gene_Expression=negDDX54_+_113624667.21-NM_024072	negative_control	433	486	489	506
Gene_Expression=negDDX6_+_118661471.25-NM_001257191	negative_control	120	135	144	105
Gene_Expression=negDDX6_+_118661576.23-NM_004397	negative_control	193	199	246	225
Gene_Expression=negDDX6_+_118662749.25-NM_004397	negative_control	315	344	394	338
Gene_Expression=negDDX6_+_118663553.23-NM_004397	negative_control	348	344	350	366
Gene_Expression=negDHX15_-_24586618.22-all	negative_control	628	629	650	733
Gene_Expression=negDHX33_+_5373043.24-NM_001199699	negative_control	888	871	892	771
Gene_Expression=negDIDO1_+_61556574.22-NM_001193369	negative_control	243	318	267	252
Gene_Expression=negDIDO1_+_61568837.25-NM_022105	negative_control	685	939	983	988
Gene_Expression=negDIDO1_+_61568965.23-NM_022105	negative_control	580	611	564	518
Gene_Expression=negDIDO1_+_61569505.24-NM_022105	negative_control	657	637	619	579
Gene_Expression=negDIDO1_-_61568885.25-NM_080797	negative_control	198	268	248	172
Gene_Expression=negDIDO1_-_61569296.22-NM_033081	negative_control	550	541	584	599
Gene_Expression=negDIDO1_-_61569758.25-NM_033081	negative_control	534	736	402	398
Gene_Expression=negDIDO1_-_61570145.23-NM_080797	negative_control	229	316	135	106
Gene_Expression=negDIDO1_-_61570395.23-NM_033081,NM_022105	negative_control	739	875	442	433
Gene_Expression=negDKC1_+_153989612.25-NM_001142463	negative_control	380	338	283	352
Gene_Expression=negDKC1_+_153991336.24-NM_001142463	negative_control	78	88	175	158
Gene_Expression=negDKC1_+_153992174.24-NM_001363	negative_control	722	725	588	525
Gene_Expression=negDKC1_-_153990943.24-all	negative_control	0	0	0	0
Gene_Expression=negDKC1_-_153990992.24-NM_001142463	negative_control	275	435	406	398
Gene_Expression=negDYNC1H1_+_102430734.25-all	negative_control	597	653	633	670
Gene_Expression=negDYNC1I2_+_172542723.23-NM_001271785,NM_001271790	negative_control	809	759	976	901
Gene_Expression=negDYNC1I2_+_172544552.25-NM_001271790	negative_control	347	414	433	441
Gene_Expression=negDYNC1I2_-_172543242.24-NM_001271790	negative_control	463	558	582	494
Gene_Expression=negDYRK1A_+_38739721.24-NM_101395	negative_control	560	590	571	499
Gene_Expression=negDYRK1A_+_38740464.25-NM_101395	negative_control	523	604	440	463
Gene_Expression=negDYRK1A_-_38739351.23-NM_101395	negative_control	530	532	606	568
Gene_Expression=negDYRK1A_-_38740564.24-NM_101395	negative_control	38	35	35	35
Gene_Expression=negDYRK1A_-_38790204.23-NM_130436	negative_control	737	940	738	540
Gene_Expression=negEBNA1BP2_+_43637692.25-NM_001159936	negative_control	186	191	263	248
Gene_Expression=negEBNA1BP2_-_43637880.24-NM_001159936	negative_control	1155	1198	1219	1146
Gene_Expression=negEFTUD2_+_42976545.23-NM_001258354	negative_control	647	692	661	545
Gene_Expression=negEFTUD2_-_42976627.24-NM_001258354	negative_control	526	553	630	553
Gene_Expression=negEFTUD2_-_42977746.25-NM_001258353	negative_control	852	1080	996	996
Gene_Expression=negEIF1AX_-_20159764.24-all	negative_control	261	267	276	280
Gene_Expression=negEIF2B3_-_45453729.23-NM_001166588	negative_control	746	728	828	684
Gene_Expression=negEIF2B4_+_27592998.25-NM_001034116	negative_control	758	941	782	860
Gene_Expression=negEIF2B4_+_27593172.25-NM_001034116	negative_control	800	907	910	852
Gene_Expression=negEIF2B4_-_27591240.24-NM_172195	negative_control	479	528	482	525
Gene_Expression=negEIF3A_-_120841085.24-all	negative_control	646	653	687	541
Gene_Expression=negEIF3D_+_36925153.23-all	negative_control	1178	1350	1173	1117
Gene_Expression=negEIF3D_-_36926663.25-all	negative_control	528	701	636	581
Gene_Expression=negEIF3F_+_8009028.23-all	negative_control	19	12	0	3
Gene_Expression=negEIF4A1_+_7476747.25-NM_001204510	negative_control	260	323	227	295
Gene_Expression=negEIF4A3_-_78121214.23-all	negative_control	72	54	44	53
Gene_Expression=negEIF4A3_-_78121257.22-all	negative_control	433	493	549	530
Gene_Expression=negEIF4A3_-_78121481.23-all	negative_control	169	156	174	172
Gene_Expression=negEIF4A3_-_78122764.23-all	negative_control	258	272	548	475
Gene_Expression=negEIF4B_+_53399555.24-all	negative_control	777	1072	1082	1054
Gene_Expression=negEIF4E_+_99852258.22-NM_001968	negative_control	536	718	465	535
Gene_Expression=negEIF4E_-_99849890.25-NM_001130678	negative_control	408	525	493	526
Gene_Expression=negEIF4G2_+_10829793.25-NM_001042559	negative_control	632	539	516	453
Gene_Expression=negEIF4G2_+_10830683.24-NM_001418	negative_control	595	516	770	701
Gene_Expression=negEIF5A_+_7210019.23-NM_001143762	negative_control	948	1019	928	1096
Gene_Expression=negEIF5A_-_7209975.24-NM_001143761	negative_control	433	601	931	873
Gene_Expression=negEIF5A_-_7211336.24-NM_001143760	negative_control	510	531	571	519
Gene_Expression=negEIF5A_-_7213058.23-NM_001143761	negative_control	599	811	711	788
Gene_Expression=negEIF6_+_33871318.24-NR_052023	negative_control	861	987	985	866
Gene_Expression=negEIF6_+_33872428.21-NM_181468,NM_002212,NR_052024	negative_control	713	690	714	744
Gene_Expression=negEIF6_+_33872516.23-NM_002212,NR_052023	negative_control	722	945	807	810
Gene_Expression=negEIF6_-_33872304.25-NM_002212,NM_181466	negative_control	289	351	289	327
Gene_Expression=negEIF6_-_33874400.25-NR_052022	negative_control	246	252	209	238
Gene_Expression=negELP4_-_31531269.25-all	negative_control	940	1027	965	884
Gene_Expression=negELP6_-_47554129.22-all	negative_control	472	430	570	497
Gene_Expression=negEPRS_+_220219576.22-all	negative_control	841	842	802	820
Gene_Expression=negEPRS_+_220220899.25-all	negative_control	181	252	210	198
Gene_Expression=negERH_+_69865752.23-all	negative_control	1224	1153	1353	1194
Gene_Expression=negETF1_+_137876782.24-NM_001282185	negative_control	1029	1204	1088	896
Gene_Expression=negETF1_-_137878279.25-NM_001256302	negative_control	521	508	506	528
Gene_Expression=negETF1_-_137878523.25-NM_001256302	negative_control	669	713	784	655
Gene_Expression=negEXOSC2_-_133567999.25-NM_014285	negative_control	311	353	326	389
Gene_Expression=negEXOSC2_-_133569070.25-NM_001282709	negative_control	338	345	392	372
Gene_Expression=negEXOSC3_+_37784892.25-NM_016042	negative_control	773	787	672	724
Gene_Expression=negEXOSC8_+_37574811.24-all	negative_control	743	814	727	788
Gene_Expression=negEZH2_+_148580919.24-NM_001203249	negative_control	335	371	309	306
Gene_Expression=negEZH2_+_148581364.25-NM_152998	negative_control	208	272	349	312
Gene_Expression=negEZH2_+_148582754.24-NM_001203248	negative_control	906	1027	991	866
Gene_Expression=negEZH2_-_148581162.25-NM_001203248	negative_control	198	240	157	171
Gene_Expression=negEZH2_-_148581350.23-NM_004456	negative_control	378	368	436	482
Gene_Expression=negEZH2_-_148581687.25-NM_001203247,NM_004456	negative_control	582	593	490	482
Gene_Expression=negEZH2_-_148582585.24-NM_001203247,NM_004456	negative_control	514	450	592	524
Gene_Expression=negFBXO5_+_153304332.25-NM_012177	negative_control	900	924	961	986
Gene_Expression=negGABPA_+_27107031.25-NM_001197297	negative_control	725	711	584	701
Gene_Expression=negGABPB1_-_50647697.23-NM_002041,NM_016654,NM_005254	negative_control	540	599	602	543
Gene_Expression=negGABPB1_-_50647975.25-NM_181427	negative_control	440	553	564	467
Gene_Expression=negGART_+_34913559.24-NM_000819	negative_control	300	449	457	445
Gene_Expression=negGART_+_34915845.24-NM_001136005	negative_control	543	596	792	741
Gene_Expression=negGART_-_34914883.23-NM_175085	negative_control	772	607	848	799
Gene_Expression=negGEMIN4_+_655090.22-all	negative_control	353	406	405	409
Gene_Expression=negGNB2L1_-_180672546.22-all	negative_control	400	473	421	366
Gene_Expression=negGNL3L_+_54556426.25-NM_019067	negative_control	462	491	422	437
Gene_Expression=negGNL3L_-_54556347.21-NM_019067	negative_control	969	1048	908	951
